id,source,destination,shortest path length,diversion path length,sample time,target id
veh826,26592977,279104458,752.020,800.649,19777,34168007
veh827,26594443,cluster_1841340870_28800409,722.540,790.176,19838,703524044
veh828,846861643,106834,626.206,693.842,19654,703524044
veh829,5198842675,cluster_1841441881_1841441899,772.138,804.612,20135,34168007
veh830,1143756004,25475774,631.411,699.047,19841,703524044
veh831,27320371,6512151832,656.117,723.753,20020,703524044
veh832,26594443,25475774,672.831,740.467,19926,703524044
veh833,26389821,1190064639,748.781,749.435,20072,34168007
veh834,242199531,110187,756.986,824.622,20022,703524044
veh835,cluster_18129859_26592176,198236,717.164,771.140,19898,34168007
veh836,1231977688,108447,658.638,726.274,19843,703524044
veh837,12197327,4714326716,685.788,725.568,20058,34168007
veh838,26652969,198236,676.264,730.240,20047,34168007
veh839,5188052610,6512151839,560.561,642.079,20024,703524044
veh840,26607503,108645,653.081,720.717,19990,703524044
veh841,26592966,34167977,638.201,653.051,20140,34168007
veh842,469876309,2230636,683.330,698.180,20149,34168007
veh843,3502507837,cluster_28800369_48300372,636.745,704.381,20079,703524044
veh844,3749560240,618311869,795.779,862.410,20235,34168007
veh845,37880123,48700398,788.769,856.405,20260,703524044
veh846,37884360,2533420415,774.816,842.452,20210,703524044
veh847,26592979,47855263,638.078,704.458,20082,703524044
veh848,26389727,2337286769,658.138,713.967,19992,703524044
veh849,cluster_18129859_26592176,49529674,651.145,666.569,20322,34168007
veh850,cluster_3818359116_3818359126_3818359130_3818359137,cluster_108649_48697698,736.854,792.683,20169,703524044
veh851,95986995,198268,735.313,789.289,20314,34168007
veh852,21668963,4712600943,710.176,777.812,20351,703524044
veh853,6111005947,48311975,637.496,705.132,20384,703524044
veh854,cluster_12197382_12197516_12197520_3069691780,6015241144,741.254,807.885,20351,34168007
veh855,6017303621,108446,749.275,805.104,20440,703524044
veh856,1782919603,108447,592.990,660.626,20445,703524044
veh857,26592990,419243848,605.391,673.027,20561,703524044
veh858,26593001,614490949,771.539,819.489,20684,34168007
veh859,53847568,106860,673.914,690.759,19907,108368
veh860,4840726617,108645,668.728,736.364,20467,703524044
veh861,27511220,392505801,686.261,770.615,20647,703524044
veh862,24792241,618348999,730.208,793.854,20140,108368
veh863,26592142,1763610760,641.982,709.618,20649,703524044
veh864,cluster_1233350118_21558064,cluster_106830_6199858766,647.928,715.564,20746,703524044
veh865,26389884,1841441875,634.598,667.072,20863,34168007
veh866,cluster_6017105715_864960615,198256,716.263,772.092,20800,703524044
veh867,96071581,1164110875,632.108,703.074,20288,108368
veh868,1143756004,28800373,687.114,754.750,20823,703524044
veh869,858395776,cluster_106880_244675701_244675711_244675713,592.857,607.707,20854,34168007
veh870,27511221,cluster_122526274_48932366,743.490,775.964,21036,34168007
veh871,cluster_26389819_6010588330,1841441886,720.700,738.978,21060,34168007
veh872,2324444316,26662539,766.623,826.832,20358,108368
veh873,37893953,18060003,779.243,833.219,21041,34168007
veh874,442864066,6379838728,758.778,812.754,21121,34168007
veh875,cluster_3818359116_3818359126_3818359130_3818359137,282786630,750.377,806.206,20889,703524044
veh876,3818359106,198238,735.923,775.703,21140,34168007
veh877,4844725956,6388387129,648.025,715.661,20928,703524044
veh878,cluster_14457894_27089784,108449,746.453,802.282,21379,703524044
veh879,442864066,379043613,636.220,686.320,21002,703524044
veh880,2319997661,6015241104,779.129,812.320,20457,108368
veh881,cluster_37884697_866577639,108621,789.945,856.576,21214,34168007
veh882,866577672,5960167886,639.389,723.743,21199,703524044
veh883,1004427563,3362649811,666.721,770.440,21103,703524044
veh884,cluster_1233350118_21558064,1826845400,681.681,745.499,20900,1249708436
veh885,108309,31146495,599.202,614.052,21050,34168007
veh886,866577953,cluster_6015241153_618311884,868.108,934.739,21407,34168007
veh887,407098828,18060000,739.445,770.089,21493,34168007
veh888,866577798,470287142,683.433,751.069,21106,703524044
veh889,12197628,198238,657.131,711.107,21309,34168007
veh890,26389712,109386,716.119,771.948,21068,703524044
veh891,26592185,6015241144,795.037,861.668,21418,34168007
veh892,1141785114,2460356321,703.565,718.415,21246,34168007
veh893,96071636,108595,776.491,841.973,20724,108368
veh894,cluster_95991141_95991348,1826845385,767.976,835.612,21372,703524044
veh895,1141868530,48644985,743.883,811.519,21381,703524044
veh896,711568975,4035858974,530.905,598.541,21188,703524044
veh897,26592976,4034102515,603.859,671.495,21471,703524044
veh898,26607514,cluster_6015241153_618311884,778.947,845.578,21486,34168007
veh899,5167408132,1841352339,668.149,700.623,21785,34168007
veh900,27511220,47290730,711.618,792.385,21701,703524044
veh901,26594444,1767293922,690.788,758.424,21455,703524044
veh902,866578088,48646868,757.253,824.889,21635,703524044
veh903,1685947963,1692535770,653.582,668.432,21767,34168007
veh904,cluster_26389854_26389862,48678904,641.407,709.043,21648,703524044
veh905,31200014,cluster_108590_648861112,728.181,782.157,21787,34168007
veh906,1685947970,5831207616,692.028,761.059,21156,108368
veh907,1735018753,25500800,632.975,688.804,21519,703524044
veh908,3502507829,1163154928,690.924,705.774,21843,34168007
veh909,26594441,cluster_1062133810_10676801,653.527,756.312,21727,703524044
veh910,26592964,18056486,689.123,756.759,21729,703524044
veh911,24498627,2584009051,586.171,649.989,21619,1249708436
veh912,705343913,4684512369,835.642,902.273,21850,34168007
veh913,3093592155,18056486,715.832,782.212,21789,703524044
veh914,96072412,35339563,737.052,751.902,21931,34168007
veh915,cluster_3379289762_3379289763,47223017,661.540,765.706,21709,1249708436
veh916,1143756014,5659829432,720.603,788.239,21972,703524044
veh917,3541828894,659503980,665.503,733.139,21817,703524044
veh918,26592984,5213494414,806.058,872.689,22023,34168007
veh919,1691695943,1767293914,587.609,655.245,21815,703524044
veh920,96071528,2460350728,698.823,737.698,22152,34168007
veh921,3840781184,1692431892,631.342,720.221,21968,703524044
veh922,cluster_1691695907_1691695908,108434,659.344,726.980,21994,703524044
